test_filename train_filename dist1 dist2 dist3 dist4 dist5
image137.jpg MB002.jpg 31309.867 31309.867 0.677 0.234 0.493
image137.jpg MB003.jpg 18046.339 18046.339 0.871 0.132 0.642
image137.jpg MB004.jpg 26157.961 26157.961 0.717 0.213 0.525
image137.jpg MB005.jpg 30647.052 30647.052 0.637 0.213 0.520
image137.jpg MB006.jpg 26808.446 26808.446 0.722 0.210 0.525
image137.jpg MB007.jpg 29548.395 29548.395 0.667 0.236 0.492
image137.jpg MB008.jpg 31448.351 31448.351 0.637 0.233 0.483
image137.jpg MB009.jpg 30320.983 30320.983 0.692 0.225 0.502
image137.jpg MB010.jpg 29839.256 29839.256 0.697 0.232 0.505
image137.jpg MB011.jpg 31798.916 31798.916 0.670 0.235 0.491
image137.jpg MB012.jpg 28819.579 28819.579 0.685 0.232 0.500
image137.jpg ML002.jpg 12384.692 12384.692 0.884 0.059 0.742
image137.jpg ML003.jpg 10063.249 10063.249 0.926 0.047 0.804
image137.jpg ML004.jpg 13812.549 13812.549 0.845 0.094 0.685
image137.jpg ML005.jpg 12378.124 12378.124 0.879 0.065 0.737
image137.jpg ML006.jpg 11147.469 11147.469 0.915 0.062 0.775
image137.jpg ML007.jpg 12481.613 12481.613 0.888 0.071 0.705
image137.jpg ML008.jpg 18757.195 18757.195 0.689 0.165 0.567
image137.jpg ML009.jpg 12350.894 12350.894 0.899 0.061 0.741
image137.jpg ML010.jpg 11356.718 11356.718 0.895 0.057 0.743
image137.jpg ML011.jpg 15789.171 15789.171 0.785 0.111 0.655
image137.jpg ML012.jpg 12607.144 12607.144 0.895 0.063 0.754
image137.jpg ML013.jpg 12200.741 12200.741 0.884 0.064 0.728
image137.jpg ML014.jpg 12499.641 12499.641 0.871 0.076 0.702
image137.jpg ML015.jpg 11631.995 11631.995 0.899 0.054 0.767
image137.jpg ML016.jpg 12366.169 12366.169 0.907 0.059 0.782
image137.jpg WL001.jpg 9160.247 9160.247 0.961 0.036 0.831
image137.jpg WL002.jpg 13859.906 13859.906 0.866 0.057 0.747
image137.jpg WL004.jpg 9823.300 9823.300 0.947 0.040 0.811
image137.jpg WL005.jpg 9108.432 9108.432 0.949 0.038 0.821
image137.jpg WL006.jpg 15220.053 15220.053 0.830 0.068 0.712
image137.jpg WL007.jpg 7719.481 7719.481 0.962 0.037 0.837
image137.jpg WL008.jpg 7526.627 7526.627 0.973 0.025 0.855
image137.jpg WL009.jpg 8466.306 8466.306 0.953 0.038 0.820
image137.jpg WL010.jpg 10987.674 10987.674 0.934 0.068 0.764
image137.jpg WL011.jpg 19685.054 19685.054 0.791 0.106 0.648
image137.jpg WL012.jpg 6987.847 6987.847 0.969 0.026 0.847
image137.jpg WL013.jpg 7657.987 7657.987 0.965 0.031 0.836
image137.jpg WL014.jpg 8348.360 8348.360 0.957 0.036 0.823
image137.jpg WL015.jpg 11019.426 11019.426 0.896 0.067 0.760
image137.jpg WL016.jpg 15011.399 15011.399 0.828 0.083 0.692
MB008.jpg image003.jpg 31070.434 31070.434 0.647 0.198 0.503
MB008.jpg image004.jpg 30833.205 30833.205 0.654 0.183 0.521
MB008.jpg image005.jpg 32145.589 32145.589 0.616 0.196 0.509
MB008.jpg image006.jpg 34416.918 34416.918 0.540 0.272 0.429
