test_filename train_filename dist1 dist2 dist3 dist4 dist5
image137.jpg image003.jpg 5807.200 5807.200 0.975 0.024 0.863
image137.jpg image004.jpg 6647.714 6647.714 0.969 0.025 0.851
image137.jpg image005.jpg 7056.487 7056.487 0.969 0.021 0.858
image137.jpg image006.jpg 8460.744 8460.744 0.941 0.040 0.797
image137.jpg image008.jpg 6696.886 6696.886 0.969 0.022 0.849
image137.jpg image009.jpg 11610.390 11610.390 0.897 0.047 0.758
image137.jpg image010.jpg 12065.745 12065.745 0.871 0.061 0.763
image137.jpg image011.jpg 13748.724 13748.724 0.833 0.090 0.707
image137.jpg image012.jpg 7072.565 7072.565 0.960 0.027 0.827
image137.jpg image013.jpg 6489.337 6489.337 0.966 0.025 0.838
image137.jpg image014.jpg 6391.294 6391.294 0.965 0.025 0.848
image137.jpg image015.jpg 6431.125 6431.125 0.971 0.023 0.853
image137.jpg image016.jpg 6081.888 6081.888 0.972 0.024 0.856
image137.jpg image017.jpg 5851.299 5851.299 0.973 0.025 0.866
image137.jpg image019.jpg 9001.876 9001.876 0.929 0.042 0.799
image137.jpg image020.jpg 12537.189 12537.189 0.863 0.080 0.709
image137.jpg image021.jpg 6170.170 6170.170 0.967 0.026 0.847
image137.jpg image022.jpg 8048.732 8048.732 0.965 0.015 0.870
image137.jpg image023.jpg 7698.050 7698.050 0.954 0.032 0.821
image137.jpg image027.jpg 6838.651 6838.651 0.967 0.030 0.833
image137.jpg image030.jpg 13747.115 13747.115 0.877 0.055 0.743
image137.jpg image031.jpg 5755.263 5755.263 0.975 0.020 0.859
image137.jpg image032.jpg 6759.521 6759.521 0.961 0.026 0.840
image137.jpg image033.jpg 6874.475 6874.475 0.965 0.021 0.850
image137.jpg image035.jpg 11234.265 11234.265 0.887 0.059 0.762
image137.jpg image036.jpg 14804.092 14804.092 0.804 0.101 0.672
image137.jpg image037.jpg 7353.894 7353.894 0.960 0.025 0.839
image137.jpg image038.jpg 7280.928 7280.928 0.967 0.029 0.840
image137.jpg image039.jpg 4968.726 4968.726 0.979 0.015 0.891
image137.jpg image040.jpg 4573.830 4573.830 0.983 0.011 0.897
image137.jpg image042.jpg 12610.145 12610.145 0.887 0.044 0.756
image137.jpg image043.jpg 7713.306 7713.306 0.950 0.035 0.811
image137.jpg image044.jpg 9193.185 9193.185 0.926 0.047 0.777
image137.jpg image048.jpg 14798.075 14798.075 0.807 0.076 0.737
image137.jpg image049.jpg 7393.814 7393.814 0.952 0.028 0.833
image137.jpg image050.jpg 9227.873 9227.873 0.942 0.027 0.807
image137.jpg image051.jpg 9622.681 9622.681 0.918 0.048 0.772
image137.jpg image052.jpg 4367.029 4367.029 0.984 0.009 0.912
image137.jpg image054.jpg 7025.585 7025.585 0.964 0.023 0.836
image137.jpg image055.jpg 6368.062 6368.062 0.973 0.025 0.854
image137.jpg image056.jpg 5658.891 5658.891 0.974 0.026 0.867
image137.jpg image057.jpg 9892.149 9892.149 0.922 0.048 0.757
image137.jpg image058.jpg 10203.789 10203.789 0.913 0.042 0.781
image137.jpg image059.jpg 7324.524 7324.524 0.966 0.032 0.837
image137.jpg image060.jpg 9281.685 9281.685 0.936 0.035 0.799
image137.jpg image061.jpg 3479.160 3479.160 0.990 0.007 0.916
image137.jpg image062.jpg 9637.900 9637.900 0.921 0.043 0.776
image137.jpg image063.jpg 9617.722 9617.722 0.920 0.047 0.761
image137.jpg image064.jpg 6663.977 6663.977 0.962 0.023 0.831
image137.jpg image065.jpg 7953.923 7953.923 0.946 0.033 0.823
image137.jpg image066.jpg 6813.463 6813.463 0.964 0.029 0.841
image137.jpg image068.jpg 10613.553 10613.553 0.899 0.048 0.784
image137.jpg image071.jpg 7076.370 7076.370 0.969 0.031 0.845
image137.jpg image072.jpg 6845.305 6845.305 0.967 0.030 0.835
image137.jpg image075.jpg 7103.250 7103.250 0.969 0.026 0.848
image137.jpg image076.jpg 6900.037 6900.037 0.968 0.022 0.845
image137.jpg image077.jpg 9164.546 9164.546 0.926 0.051 0.785
image137.jpg image079.jpg 21393.430 21393.430 0.717 0.121 0.613
image137.jpg image080.jpg 7044.591 7044.591 0.960 0.025 0.830
image137.jpg image082.jpg 12803.245 12803.245 0.885 0.055 0.740
image137.jpg image083.jpg 7922.871 7922.871 0.952 0.042 0.808
image137.jpg image084.jpg 9570.978 9570.978 0.920 0.054 0.758
image137.jpg image085.jpg 6767.763 6767.763 0.968 0.026 0.847
image137.jpg image086.jpg 7301.810 7301.810 0.957 0.027 0.824
image137.jpg image087.jpg 9793.580 9793.580 0.927 0.038 0.796
image137.jpg image090.jpg 8719.055 8719.055 0.940 0.035 0.804
image137.jpg image091.jpg 7501.930 7501.930 0.951 0.029 0.819
image137.jpg image092.jpg 9878.517 9878.517 0.934 0.041 0.806
image137.jpg image093.jpg 10303.018 10303.018 0.917 0.044 0.789
image137.jpg image094.jpg 5459.604 5459.604 0.977 0.015 0.870
image137.jpg image099.jpg 13086.072 13086.072 0.883 0.041 0.764
image137.jpg image101.jpg 8534.904 8534.904 0.936 0.038 0.805
image137.jpg image103.jpg 6962.878 6962.878 0.966 0.026 0.849
image137.jpg image106.jpg 7440.118 7440.118 0.954 0.038 0.821
image137.jpg image109.jpg 11237.468 11237.468 0.928 0.067 0.754
image137.jpg image110.jpg 13264.367 13264.367 0.913 0.074 0.718
image137.jpg image111.jpg 7078.179 7078.179 0.968 0.025 0.844
image137.jpg image112.jpg 6682.240 6682.240 0.965 0.035 0.840
image137.jpg image115.jpg 6872.574 6872.574 0.966 0.031 0.832
image137.jpg image117.jpg 16682.577 16682.577 0.802 0.090 0.678
image137.jpg image121.jpg 9016.484 9016.484 0.951 0.025 0.817
image137.jpg image125.jpg 14575.108 14575.108 0.810 0.103 0.672
image137.jpg image126.jpg 7203.742 7203.742 0.963 0.028 0.839
image137.jpg image127.jpg 6091.393 6091.393 0.969 0.024 0.844
image137.jpg image128.jpg 9081.782 9081.782 0.945 0.026 0.819
image137.jpg image129.jpg 8023.765 8023.765 0.944 0.042 0.804
image137.jpg image131.jpg 9512.528 9512.528 0.920 0.048 0.777
image137.jpg image132.jpg 8344.423 8344.423 0.952 0.024 0.828
image137.jpg image134.jpg 7592.125 7592.125 0.965 0.031 0.837
image137.jpg image135.jpg 8467.318 8467.318 0.950 0.025 0.824
image137.jpg image136.jpg 2710.059 2710.059 0.994 0.006 0.933
image137.jpg image138.jpg 8297.955 8297.955 0.939 0.037 0.808
image137.jpg image139.jpg 7922.219 7922.219 0.954 0.031 0.818
image137.jpg image140.jpg 6407.354 6407.354 0.968 0.024 0.843
MB008.jpg MB002.jpg 5210.083 5210.083 0.993 0.010 0.905
MB008.jpg MB003.jpg 19249.344 19249.344 0.882 0.054 0.759
MB008.jpg MB004.jpg 7478.311 7478.311 0.985 0.017 0.883
MB008.jpg MB005.jpg 8839.097 8839.097 0.976 0.058 0.810
MB008.jpg MB006.jpg 7300.857 7300.857 0.985 0.013 0.897
MB008.jpg MB007.jpg 3720.127 3720.127 0.996 0.008 0.919
MB008.jpg MB009.jpg 5185.075 5185.075 0.992 0.011 0.916
MB008.jpg MB010.jpg 5943.026 5943.026 0.990 0.012 0.907
MB008.jpg MB011.jpg 5154.095 5154.095 0.993 0.009 0.905
MB008.jpg MB012.jpg 5188.675 5188.675 0.992 0.010 0.908
ML013.jpg ML002.jpg 1587.984 1587.984 0.998 0.003 0.956
ML013.jpg ML003.jpg 7720.908 7720.908 0.957 0.033 0.828
ML013.jpg ML004.jpg 7031.923 7031.923 0.963 0.025 0.850
ML013.jpg ML005.jpg 3393.006 3393.006 0.991 0.010 0.923
ML013.jpg ML006.jpg 5694.964 5694.964 0.979 0.026 0.878
ML013.jpg ML007.jpg 5450.843 5450.843 0.980 0.027 0.855
ML013.jpg ML008.jpg 13683.429 13683.429 0.852 0.066 0.730
ML013.jpg ML009.jpg 3694.649 3694.649 0.994 0.010 0.912
ML013.jpg ML010.jpg 4351.502 4351.502 0.986 0.016 0.906
ML013.jpg ML011.jpg 9032.300 9032.300 0.938 0.030 0.816
ML013.jpg ML012.jpg 4993.872 4993.872 0.986 0.023 0.875
ML013.jpg ML014.jpg 3655.549 3655.549 0.991 0.010 0.916
ML013.jpg ML015.jpg 3950.925 3950.925 0.989 0.013 0.911
ML013.jpg ML016.jpg 6706.948 6706.948 0.976 0.029 0.840
WL009.jpg WL001.jpg 4923.080 4923.080 0.988 0.020 0.894
WL009.jpg WL002.jpg 15695.200 15695.200 0.837 0.054 0.748
WL009.jpg WL004.jpg 2882.799 2882.799 0.996 0.004 0.941
WL009.jpg WL005.jpg 3231.349 3231.349 0.994 0.007 0.925
WL009.jpg WL006.jpg 17385.240 17385.240 0.796 0.072 0.706
WL009.jpg WL007.jpg 3042.773 3042.773 0.994 0.007 0.929
WL009.jpg WL008.jpg 5525.521 5525.521 0.982 0.018 0.890
WL009.jpg WL010.jpg 8760.807 8760.807 0.955 0.051 0.804
WL009.jpg WL011.jpg 20497.132 20497.132 0.773 0.101 0.641
WL009.jpg WL012.jpg 3010.507 3010.507 0.994 0.009 0.926
WL009.jpg WL013.jpg 2698.087 2698.087 0.995 0.006 0.940
WL009.jpg WL014.jpg 1614.313 1614.313 0.998 0.003 0.961
WL009.jpg WL015.jpg 8965.135 8965.135 0.947 0.038 0.817
WL009.jpg WL016.jpg 16720.016 16720.016 0.807 0.083 0.688
